ID nummer;Naam;Begin vers;Eind vers
207;Vrijplaatsen;Jozua 20:1;Jozua 20:9
208;Steden voor de Levieten;Jozua 21:1;Jozua 21:45
209;Bouw van een altaar aan de Jordaan;Jozua 22:1;Jozua 22:34
210;Afscheidsrede van Jozua;Jozua 23:1;Jozua 23:16
211;Volksvergadering in Sichem;Jozua 24:1;Jozua 24:28
212;Dood van Jozua en Eleazar;Jozua 24:29;Jozua 24:33
213;Vestiging in Kanaän;Rechters 1:1;Rechters 2:5
214;Israël verbreekt het verbond;Rechters 2:6;Rechters 3:6
215;De eerste rechters: Otniël, Ehud, Samgar;Rechters 3:7;Rechters 3:31
216;Debora en Barak;Rechters 4:1;Rechters 5:31
217;Gideon geroepen;Rechters 6:1;Rechters 6:40
218;Gideon overvalt de Midjanieten;Rechters 7:1;Rechters 7:22
219;Efraïm slaat de Midjanieten terug;Rechters 7:23;Rechters 8:3
220;Gideon rekent af met Midjan, Sukkot en Penuël;Rechters 8:4;Rechters 8:21
221;Hulde aan Gideon;Rechters 8:22;Rechters 8:32
222;Abimelech koning in Sichem;Rechters 8:33;Rechters 9:57
223;Tola en Jaïr;Rechters 10:1;Rechters 10:5
224;Jefta als leider aangezocht;Rechters 10:6;Rechters 11:11
225;Jefta slaat de Ammonieten terug;Rechters 11:12;Rechters 11:40
226;Conflict met Efraïm;Rechters 12:1;Rechters 12:7
227;Ibsan, Elon en Abdon;Rechters 12:8;Rechters 12:15
228;De geboorte van Simson;Rechters 13:1;Rechters 13:25
229;Simsoms huwelijk;Rechters 14:1;Rechters 15:20
230;Simsom en Delila;Rechters 16:1;Rechters 16:31
231;De Danieten en het godenbeeld van Micha;Rechters 17:1;Rechters 18:31
232;Het gastrecht geschonden in Gibea;Rechters 19:1;Rechters 19:30
233;Gibea en Benjamin gestraft;Rechters 20:1;Rechters 20:48
234;Het voortbestaan van de stam Benjamin verzekerd;Rechters 21:1;Rechters 21:25
235;De gelofte van Hanna en de geboorte van Samuël;1 Samuël 1:1;1 Samuël 2:11
236;Het wangedrag van de zonen van Eli;1 Samuël 2:12;1 Samuël 2:26
237;Profetie tegen Eli en zijn nakomelingen;1 Samuël 2:26;1 Samuël 2:36
238;Samuël geroepen;1 Samuël 3:1;1 Samuël 4:1
239;De ondergang van Eli en zijn nakomelingen;1 Samuël 4:2;1 Samuël 4:22
240;Omzwervingen van de ark;1 Samuël 5:1;1 Samuël 7:1
241;Samuël spreekt het volk toe;1 Samuël 7:2;1 Samuël 7:17
242;Israël vraagt een koning;1 Samuël 8:1;1 Samuël 8:22
243;Saul door Samuël tot koning gezalfd;1 Samuël 9:1;1 Samuël 10:16
244;Saul komt Jabes tot hulp;1 Samuël 11:1;1 Samuël 11:13
245;Samuël spreekt het volk voor het laatst toe;1 Samuël 11:14;1 Samuël 12:25
246;Saul verspeelt de gunst van Samuël;1 Samuël 13:1;1 Samuël 13:15
247;Jonatans heldendaad;1 Samuël 13:15;1 Samuël 14:23
248;Sauls eed;1 Samuël 14:23;1 Samuël 14:46
249;Verdere gegevens over Saul en zijn familie;1 Samuël 14:47;1 Samuël 14:52
250;Saul verspeelt de gunst van God;1 Samuël 15:1;1 Samuël 15:35
251;David door Samuël gezalfd;1 Samuël 16:1;1 Samuël 16:13
252;David verdrijft de kwade geest van Saul;1 Samuël 16:14;1 Samuël 16:23
253;David verslaat Goliat;1 Samuël 17:1;1 Samuël 18:5
254;David aan het hof;1 Samuël 18:6;1 Samuël 18:30
255;Davids vlucht;1 Samuël 19:1;1 Samuël 19:24
256;Jonatans verbond met David;1 Samuël 20:1;1 Samuël 21:1
257;David ontkomt met behulp van Achimelech;1 Samuël 21:2;1 Samuël 22:5
258;Saul wreekt zich op de priesters van Nob;1 Samuël 22:6;1 Samuël 22:23
259;David bevrijdt Keïla;1 Samuël 23:1;1 Samuël 23:13
260;David in de woestijn van Juda;1 Samuël 23:14;1 Samuël 23:28
261;David spaart Sauls leven bij Engedi;1 Samuël 24:1;1 Samuël 24:23
262;Samuëls dood;1 Samuël 25:1;1 Samuël 25:1
263;David, Nabal en Abigaïl;1 Samuël 25:1;1 Samuël 25:44
264;David spaart Sauls leven op de Chachila;1 Samuël 26:1;1 Samuël 26:25
265;David bij koning Achis;1 Samuël 27:1;1 Samuël 28:2
266;Saul bezoekt een geestenbezweerster;1 Samuël 28:3;1 Samuël 28:25
267;David door de Filistijnen gewantrouwd;1 Samuël 29:1;1 Samuël 29:11
268;David verslaat de Amalekieten;1 Samuël 30:1;1 Samuël 30:31
269;Sauls dood;1 Samuël 31:1;1 Samuël 31:13
270;David rouwt over Saul en Jonatan;2 Samuël 1:1;2 Samuël 1:27
271;David gezalfd tot koning van Juda;2 Samuël 2:1;2 Samuël 2:11
272;De slag bij Gibeon;2 Samuël 2:12;2 Samuël 2:32
273;Abner onderhandelt met David en wordt door Joab vermoord;2 Samuël 3:1;2 Samuël 3:39
274;Isboset vermoord;2 Samuël 4:1;2 Samuël 4:12
275;David tot koning van Israël gezalfd;2 Samuël 5:1;2 Samuël 5:5
276;De inname van Jeruzalem;2 Samuël 5:6;2 Samuël 5:16
277;Twee aanvallen van de Filistijnen afgeslagen;2 Samuël 5:17;2 Samuël 5:25
278;De ark van God overgebracht naar Jeruzalem;2 Samuël 6:1;2 Samuël 6:23
279;Toezeggingen over de voortzetting van Davids koningshuis;2 Samuël 7:1;2 Samuël 7:29
280;Davids overwinningen;2 Samuël 8:1;2 Samuël 8:14
281;Davids ambtenaren;2 Samuël 8:15;2 Samuël 8:18
282;David en de zoon van Jonatan;2 Samuël 9:1;2 Samuël 9:13
283;Oorlog tegen de Ammonieten;2 Samuël 10:1;2 Samuël 10:19
284;David en Batseba;2 Samuël 11:1;2 Samuël 12:25
285;Einde van de oorlog tegen de Ammonieten;2 Samuël 12:26;2 Samuël 12:31
286;Amnon en Tamar;2 Samuël 13:1;2 Samuël 13:22
287;Absaloms wraak;2 Samuël 13:23;2 Samuël 13:37
288;Absaloms terugkeer;2 Samuël 13:38;2 Samuël 14:33
289;Absalom grijpt naar de macht;2 Samuël 15:1;2 Samuël 15:12
290;David vlucht uit Jeruzalem;2 Samuël 15:13;2 Samuël 16:14
291;Krijgsraad bij Absalom;2 Samuël 16:15;2 Samuël 17:14
292;David gewaarschuwd;2 Samuël 17:15;2 Samuël 17:23
293;De dood van Absalom;2 Samuël 17:24;2 Samuël 18:18
294;David rouwt over Absalom;2 Samuël 18:19;2 Samuël 19:9
295;David keert terug naar Jeruzalem;2 Samuël 19:9;2 Samuël 19:41
296;Afgunst tussen Juda en Israël;2 Samuël 19:41;2 Samuël 20:22
297;Davids ambtenaren;2 Samuël 20:23;2 Samuël 20:26
298;Het lot van de nakomelingen van Saul;2 Samuël 21:1;2 Samuël 21:14
299;Heldendaden tegen het reuzengeslacht van de Refaïeten;2 Samuël 21:15;2 Samuël 21:22
300;Het overwinningslied van David;2 Samuël 22:1;2 Samuël 22:51
301;Davids laatste woorden;2 Samuël 23:1;2 Samuël 23:39
302;De volkstelling;2 Samuël 24:1;2 Samuël 24:25
303;Salomo tot koning gezalfd;1 Koningen 1:1;1 Koningen 1:53
304;Davids laatste wilsbeschikking;1 Koningen 2:1;1 Koningen 2:46
305;Salomo's wijsheid;1 Koningen 3:1;1 Koningen 3:28
306;Salomo's ambtenaren;1 Koningen 4:1;1 Koningen 4:19
307;Salomo's grootheid;1 Koningen 4:20;1 Koningen 5:14
308;Voorbereidingen op de tempelbouw;1 Koningen 5:15;1 Koningen 5:32
309;De bouw van de tempel;1 Koningen 6:1;1 Koningen 6:38
310;Salomo's paleis;1 Koningen 7:1;1 Koningen 7:12
311;De inrichting van de tempel;1 Koningen 7:13;1 Koningen 7:51
312;De inwijding van de tempel;1 Koningen 8:1;1 Koningen 8:66
313;Belofte aan Salomo;1 Koningen 9:1;1 Koningen 9:9
314;Andere ondernemingen van Salomo;1 Koningen 9:10;1 Koningen 9:28
315;Bezoek van de koningin van Seba;1 Koningen 10:1;1 Koningen 10:13
316;Salomo's rijkdom;1 Koningen 10:14;1 Koningen 10:29
317;Salomo's ontrouw;1 Koningen 11:1;1 Koningen 11:13
318;Salomo's tegenstanders;1 Koningen 11:14;1 Koningen 11:40
319;Salomo's dood;1 Koningen 11:41;1 Koningen 11:43
320;De scheuring van het rijk;1 Koningen 12:1;1 Koningen 12:24
321;Jerobeam, koning van Israël;1 Koningen 12:25;1 Koningen 12:32
322;Profetie tegen Jerobeam;1 Koningen 12:33;1 Koningen 13:34
323;Jerobeam gestraft;1 Koningen 14:1;1 Koningen 14:20
324;Rechabeam, koning van Juda;1 Koningen 14:21;1 Koningen 14:31
325;Abiam, koning van Juda;1 Koningen 15:1;1 Koningen 15:8
326;Asa, koning van Juda;1 Koningen 15:9;1 Koningen 15:24
327;Nadab, koning van Israël;1 Koningen 15:25;1 Koningen 15:32
328;Basa, koning van Israël;1 Koningen 15:33;1 Koningen 16:7
